Item,Category,Sort Order
Pulse Oximeter - Handheld,Respiratory Monitor,98
Airway Device - Incentive Spirometer,Airway Therapy,99
Airway Device - Peak Flow Meter,Airway Therapy,100
Airway Device - Airway Clearance Vest,Airway Therapy,101
Blood Glucose Monitor - Standard Meter,Diabetes Equipment,102
Blood Glucose Monitor - Talking Meter,Diabetes Equipment,103
Continuous Glucose Monitor - Receiver,Diabetes Equipment,104
Continuous Glucose Monitor - Sensor System,Diabetes Equipment,105
Insulin Pump - External,Diabetes Equipment,106
Insulin Pump - Patch,Diabetes Equipment,107
Insulin Pen - Durable,Diabetes Equipment,108
Blood Pressure Monitor - Manual,Blood Pressure Monitor,109
Blood Pressure Monitor - Automatic,Blood Pressure Monitor,110
Blood Pressure Monitor - Wrist,Blood Pressure Monitor,111
Cardiac Monitor - Holter,Cardiac Monitor,112
Cardiac Monitor - Event,Cardiac Monitor,113
EKG Monitor - Portable,Cardiac Monitor,114
Medical Scale - Digital,Medical Scale,115
Medical Scale - Bariatric,Medical Scale,116
Medical Scale - Wheelchair,Medical Scale,117
Thermometer - Digital Medical,Thermometer,118
Thermometer - Infrared Medical,Thermometer,119
Shower Chair - Standard,Bathroom Safety,120
Shower Chair - Padded,Bathroom Safety,121
Shower Chair - Bariatric,Bathroom Safety,122
Bath Transfer Bench - Standard,Bathroom Safety,123
Bath Transfer Bench - Sliding,Bathroom Safety,124
Raised Toilet Seat - Standard,Bathroom Safety,125
Raised Toilet Seat - Locking,Bathroom Safety,126
Toilet Safety Frame - Standard,Bathroom Safety,127
Bedside Commode - Standard,Bathroom Safety,128
Bedside Commode - Drop Arm,Bathroom Safety,129
Bedside Commode - Bariatric,Bathroom Safety,130
Grab Bar - Wall Mounted,Bathroom Safety,131
Grab Bar - Suction,Bathroom Safety,132
Back Brace - Lumbar,Orthopedic Brace,133
Back Brace - Thoracic,Orthopedic Brace,134
Neck Brace - Soft Cervical Collar,Orthopedic Brace,135
Neck Brace - Rigid Cervical Collar,Orthopedic Brace,136
Knee Brace - Hinged,Orthopedic Brace,137
Knee Brace - Compression,Orthopedic Brace,138
Ankle Brace - Lace Up,Orthopedic Brace,139
Ankle Brace - Walking Boot,Orthopedic Brace,140
Wrist Brace - Stabilizer,Orthopedic Brace,141
Wrist Brace - Carpal Tunnel,Orthopedic Brace,142
TENS Unit - Standard,Therapy Equipment,143
NMES Unit - Therapy,Therapy Equipment,144
CPM Machine - Knee,Therapy Equipment,145
Therapy Bike - Motorized,Therapy Equipment,146
Cold Therapy Machine - Post Surgery,Cold Therapy,147
Ice Therapy Unit - Circulating,Cold Therapy,148
Dialysis Machine - Home Hemodialysis,Dialysis,149
Dialysis Machine - Peritoneal Cycler,Dialysis,150
Wound Therapy Pump - Negative Pressure,Wound Care,151
Compression Pump - Lymphedema,Wound Care,152
Infusion Pump - Ambulatory,Infusion Equipment,153
Infusion Pump - PCA,Infusion Equipment,154
Infusion Pump - Syringe,Infusion Equipment,155
Infusion Pump - Elastomeric,Infusion Equipment,156
IV Pole - Standard,Infusion Equipment,157
IV Pole - Rolling,Infusion Equipment,158
